fromRegion,month,DownWeight,Comment,gender,monthNum
BoF,January,4,,adMale,1
BoF,February,5,,adMale,2
BoF,March,5,,adMale,3
BoF,April,3,,adMale,4
BoF,May,1,Not much data,adMale,5
BoF,June,1,I like this as is. Down weighting moves them into areas that I think are unlikely in this month,adMale,6
BoF,July,2,,adMale,7
BoF,August,4,"I wanted to allow for movement from Bof to GoM. See ""Narrative Demographics for Rob- updates Feb 2015.docx"" for updated prior values.",adMale,8
BoF,September,4,"I don't understand why so few go to RB when that was the 2nd highest movement in my priors. See  ""Narrative Demographics for Rob- updates Feb 2015.docx"" for notes",adMale,9
BoF,October,3,,adMale,10
BoF,November,2,,adMale,11
BoF,December,1,,adMale,12
BoF,January,4,,adFemale,1
BoF,February,4,,adFemale,2
BoF,March,4,,adFemale,3
BoF,April,2,,adFemale,4
BoF,May,2,,adFemale,5
BoF,June,2,,adFemale,6
BoF,July,2,,adFemale,7
BoF,August,4,"I wanted to allow for movement from Bof to GoM. See ""Narrative Demographics for Rob- updates Feb 2015.docx"" for updated prior values.",adFemale,8
BoF,September,4,,adFemale,9
BoF,October,3,"Need more to be able to go to JL. See  ""Narrative Demographics for Rob- updates Feb 2015.docx"" for notes",adFemale,10
BoF,November,3,,adFemale,11
BoF,December,5,,adFemale,12
BoF,January,3,,juveniles,1
BoF,February,3,,juveniles,2
BoF,March,2,,juveniles,3
BoF,April,2,,juveniles,4
BoF,May,2,,juveniles,5
BoF,June,1,,juveniles,6
BoF,July,2,,juveniles,7
BoF,August,3,"I don't understand why so few go to RB when that was the 2nd highest movement in my priors. See  ""Narrative Demographics for Rob- updates Feb 2015.docx"" for notes",juveniles,8
BoF,September,4,"Need more to be able to go to RB. See  ""Narrative Demographics for Rob- updates Feb 2015.docx"" for notes",juveniles,9
BoF,October,2,,juveniles,10
BoF,November,6,,juveniles,11
BoF,December,1,,juveniles,12
GOM,January,6,"I wanted to allow for movement to MIDA and NE. See ""Narrative Demographics for Rob- updates Feb 2015.docx"" for updated prior values.",adMale,1
GOM,February,3,,adMale,2
GOM,March,3,"I wanted to allow for more movement to NE and MIDA. See ""Narrative Demographics for Rob- updates Feb 2015.docx"" for updated prior values.",adMale,3
GOM,April,5,"See ""Narrative Demographics for Rob- updates Feb 2015.docx"" for updated prior values.",adMale,4
GOM,May,8,We have so little idea of whale movements starting in this month,adMale,5
GOM,June,4,,adMale,6
